Locality_ID,Region,origin,y_difficult,knn_pred_difficult,gp_pred_difficult,y_easy,knn_pred_easy,gp_pred_easy
loc_01323,Souss-Massa,batch3_2026,0,0,0,1,1,1
loc_01324,Souss-Massa,batch3_2026,0,0,0,1,1,1
loc_01325,Souss-Massa,batch3_2026,0,0,0,1,1,1
loc_01326,Souss-Massa,batch3_2026,0,0,0,1,0,1
loc_01327,Souss-Massa,batch3_2026,0,0,0,1,1,1
loc_01328,Drâa-Tafilalet,batch3_2026,0,0,0,1,1,0
loc_01329,Drâa-Tafilalet,batch3_2026,0,0,0,1,0,0
loc_01330,Drâa-Tafilalet,batch3_2026,0,0,0,1,0,0
loc_01331,Drâa-Tafilalet,batch3_2026,0,0,0,1,1,1
loc_01332,Drâa-Tafilalet,batch3_2026,0,0,0,1,0,0
loc_01333,Drâa-Tafilalet,batch3_2026,0,0,0,1,0,0
