Locality_ID,Expert_Class,Region,Latitude_WGS84,Longitude_WGS84,Dist_to_Highway_m,Slope_deg,Ruggedness,Elevation_m,LULC_Friction,Dist_to_Settlement_m,Expert_Merged,origin,proba,pred,correct,y,region_threshold,pred_regiontuned
loc_00097,Easy,Souss-Massa,29.442398,-8.264208,594.1015242518711,23.01795212932434,30.47660487151343,614.5865478515625,0.1,44204.01319685871,Easy,original_733,0.1244608341389721,0,True,0,0.26,0
loc_00135,Moderate,Souss-Massa,29.47055555555556,-8.293055555555556,2440.609655592564,2.2216868585441016,1.9429623942729848,574.3182983398438,0.1,43801.09328790528,Moderate,original_733,0.0341674544753019,0,True,0,0.26,0
loc_00103,Easy,Souss-Massa,29.475754,-8.277655,1018.9133494132022,2.306984839941124,1.8974569021177683,579.6940307617188,0.1,42337.579747520926,Easy,original_733,0.0169808183939193,0,True,0,0.26,0
loc_00088,Moderate,Souss-Massa,29.483864,-8.295043,2734.4029633338378,3.486324251041411,2.383620585291838,579.846923828125,0.1,42917.02094782206,Moderate,original_733,0.0498957329469205,0,True,0,0.26,0
loc_00089,Moderate,Souss-Massa,29.483864,-8.295043,2734.4029633338378,3.486324251041411,2.383620585291838,579.846923828125,0.1,42917.02094782206,Moderate,original_733,0.0498957329469205,0,True,0,0.26,0
loc_00090,Moderate,Souss-Massa,29.603338,-8.251098,413.9818941990295,18.33481131104658,17.14321268885589,770.0392456054688,0.1,31505.89505847208,Moderate,original_733,0.4811022207243792,0,True,0,0.26,1
loc_00137,Moderate,Souss-Massa,29.61583333333333,-8.261111111111111,725.9648893951098,6.327861822444092,10.140965485375776,776.7150268554688,0.1,31682.85720386229,Moderate,original_733,0.1431042400328476,0,True,0,0.26,0
loc_00102,Easy,Souss-Massa,29.705037,-7.986517,578.940300659856,0.9649669112691428,0.9674218548230888,631.6235961914062,0.2,4879.833080778235,Easy,original_733,0.0554959340438499,0,True,0,0.26,0
loc_00125,Moderate,Souss-Massa,29.732906,-8.189294,4887.783750300063,9.629127835856108,13.825940344944474,948.2532958984376,0.1,21263.74252699825,Moderate,original_733,0.1187898238180141,0,True,0,0.26,0
loc_00126,Moderate,Souss-Massa,29.734488,-8.261025,6602.731461462558,10.491992966549876,14.140487797004132,975.6331176757812,0.55,28167.267822138285,Moderate,original_733,0.225982316272867,0,True,0,0.26,0
loc_00117,Moderate,Souss-Massa,29.751482,-8.161377,5799.9395459677735,30.71713166770392,43.678281169292354,1531.5142822265625,0.1,18522.369114854995,Moderate,original_733,0.2240146331302779,0,True,0,0.26,0
loc_00138,Moderate,Souss-Massa,29.84722222222222,-8.516944444444444,779.4634670165038,13.185011390292324,14.69758542904184,1238.672119140625,0.1,53991.93989689765,Moderate,original_733,0.0970083759043063,0,True,0,0.26,0
loc_00093,Moderate,Souss-Massa,29.850649,-8.512572,1323.552277545519,21.895878364173857,35.38970896823347,1341.591796875,0.1,53659.44616492296,Moderate,original_733,0.0907051388834563,0,True,0,0.26,0
loc_00091,Moderate,Souss-Massa,29.854611,-8.533996,462.8707566984186,3.1260740200288675,3.16756521177686,1131.458251953125,0.1,55772.00239851437,Moderate,original_733,0.103351688610454,0,True,0,0.26,0
loc_00132,Easy,Souss-Massa,29.888118,-6.827353,16007.485861134071,29.37609952730305,36.243154982889976,694.3156127929688,0.1,107082.71865803836,Easy,original_733,0.4925922707251349,0,True,0,0.26,1
loc_00100,Easy,Souss-Massa,29.91642,-7.374716,2909.414155702192,5.20687268704095,8.004744600658574,621.0863037109375,0.1,60417.7006086088,Easy,original_733,0.080791921482186,0,True,0,0.26,0
loc_00111,Moderate,Souss-Massa,30.089514,-6.910584,3161.294997623536,13.260041691885515,21.62759727288869,818.7493896484375,0.1,92367.2961797405,Moderate,original_733,0.0558678383110142,0,True,0,0.26,0
loc_00134,Easy,Souss-Massa,30.09611111111111,-6.887499999999999,1046.684086463323,17.853081606431704,26.24224349092846,938.107421875,0.1,91661.19509400873,Easy,original_733,0.1132442167842632,0,True,0,0.26,0
loc_00099,Easy,Souss-Massa,30.140782,-6.877585,16.553922878181726,1.65072685623932,1.3149232470299588,677.3510131835938,0.1,86725.34864337214,Easy,original_733,0.0149561915354415,0,True,0,0.26,0
loc_00123,Difficult,Souss-Massa,30.195719,-7.540216,223.7292736883057,7.72601520562961,9.68513829254907,1114.17529296875,0.55,64861.542316545136,Difficult,original_733,0.3737963986629429,0,False,1,0.26,1
loc_00121,Moderate,Souss-Massa,30.308991,-6.837444,717.2975858751397,1.1312669676933715,1.177775233245093,809.2957153320312,0.1,68325.34361178312,Moderate,original_733,0.023752682845518,0,True,0,0.26,0
loc_00263,Moderate,Eddakhla-Oued Eddahab,22.55027777777778,-14.317222222222222,197.2961000529725,0.7922918861089138,0.8448534248288998,309.59716796875,0.1,209330.8512233057,Moderate,original_733,0.3871227391416554,0,True,0,0.13,1
loc_00264,Moderate,Eddakhla-Oued Eddahab,22.55027777777778,-14.317222222222222,197.2961000529725,0.7922918861089138,0.8448534248288998,309.59716796875,0.1,209330.8512233057,Moderate,original_733,0.3871227391416554,0,True,0,0.13,1
loc_00265,Moderate,Eddakhla-Oued Eddahab,22.59777777777777,-14.4025,211.4617554889434,5.346308889928751,7.196027014866348,298.3929138183594,0.1,199176.76486551567,Moderate,original_733,0.2840444941564739,0,True,0,0.13,1
loc_00267,Moderate,Eddakhla-Oued Eddahab,22.612222222222226,-14.4825,5142.072689349501,23.40587610820144,28.309610414110924,343.8375244140625,0.1,191755.49901570767,Moderate,original_733,0.4290817768377332,0,True,0,0.13,1
loc_00266,Very Difficult,Eddakhla-Oued Eddahab,22.627222222222223,-14.408055555555556,1992.6529320346424,0.9240577017454727,1.0599143288352273,312.7580261230469,0.1,196722.91204771047,Difficult,original_733,0.0778144834203351,0,False,1,0.13,0
loc_00261,Moderate,Eddakhla-Oued Eddahab,23.2075,-15.088333333333331,785.0323550682352,0.516905594132378,0.3731265737990702,165.50787353515625,0.1,102618.70945102922,Moderate,original_733,0.0552745703271172,0,True,0,0.13,0
