Geological domain,Administrative region,Auteurs,Titre,Evaluated geosites,Geosite's type,Coordinates,,,,,,,,,,,
Western High Atlas,Souss-Massa,"Ouchkar et al., 2025","Valorization of the Geological Heritage of the Western High Atlas Coast (Agadir, Morocco)",Dinosaur footprint site of Anza,,30°26.75’ N,09°39.65’ W,,,,,,,,,,
,,,,sedimentary and tectonic type: Quaternary conglomerate formation of Taghazout,,30°32’06.86”N,09°40’34.58”W,,,,,,,,,,
,,,,Karstic type geosite 3: Cap Ghir Cave,,30°37’45.08”N,09°50’02.10”W,,,,,,,,,,
,,,,Stratigraphic-type geosite 4: Tiguert Formation,,30°37’46.323”N,09°50’02.57”W,,,,,,,,,,
,,,,Stratigraphic Type: Oxfordian of Cap Ghir Reef,,30°37’41.98”N,09°50’11.96”W,,,,,,,,,,
,,,,Imi Ouaddar sedimentary geosite type : black shale-Imi-Ouaddar,,30°33’44”N,9°44’32.84”W,,,,,,,,,,
Middle Atlas,Beni Mellal-Khenifra," Ech-charay et al., 2026","The Palaeontological Heritage of Boulemane Between Illegal Looting and Geoconservation: Issues, Challenges and Solutions",Almou,,"33°22'44.96""N","4°42'40.92""W",,,,,,,,,,
Anti-Atlas,Draa-Tafilalet,"Lahmidi et al., 2021",The Ordovician Foum Larjamme Tunnel Paleo‑valleys from Bani Geopark Project—Assessment of Geological Heritage for Geo‑education and Geotourism Purposes,Cross‑Bedding Structures,,"29°56'29.13""N","5°37'31.48""W",,,,,,,,,,
,,,,"Bioturbation, Trace Fossils, and Fossils",,"29°55'32.55""N","5°36'53.08""W",,,,,,,,,,
,,,,Wave Ripples,,"29°54'21.51""N","5°35'29.52""W",,,,,,,,,,
,,,,Micro‑faulting and Hydrofracturing,,"29°53'42.82""N","5°36'33.19""W",,,,,,,,,,
,,,,Conglomerate and Conglomeratic Sandstone,,"29°53'48.28""N","5°34'58.77""W",,,,,,,,,,
,,,,Unconformities,,"29°57'34.20""N","5°38'13.54""W",,,,,,,,,,
,,,,Joints and Rock Fall,,"29°58'50.34""N","5°39'7.16""W",,,,,,,,,,
